날짜,종가
2014-04-29,16448.74
2014-04-30,16535.37
2014-05-01,16580.84
2014-05-02,16558.87
2014-05-05,16512.89
2014-05-06,16530.55
2014-05-07,16401.02
2014-05-08,16518.54
2014-05-09,16550.97
2014-05-12,16583.34
2014-05-13,16695.47
2014-05-14,16715.44
2014-05-15,16613.97
2014-05-16,16446.81
2014-05-19,16491.31
2014-05-20,16511.86
2014-05-21,16374.31
2014-05-22,16533.06
2014-05-23,16543.08
2014-05-27,16606.27
2014-05-28,16675.5
2014-05-29,16633.18
2014-05-30,16698.74
2014-06-02,16717.17
2014-06-03,16743.63
2014-06-04,16722.34
2014-06-05,16737.53
2014-06-06,16836.11
2014-06-09,16924.28
2014-06-10,16943.1
2014-06-11,16945.92
2014-06-12,16843.88
2014-06-13,16734.19
2014-06-16,16775.74
2014-06-17,16781.01
2014-06-18,16808.49
2014-06-19,16906.62
2014-06-20,16921.46
2014-06-23,16947.08
2014-06-24,16937.26
2014-06-25,16818.13
2014-06-26,16867.51
2014-06-27,16846.13
2014-06-30,16851.84
2014-07-01,16826.6
2014-07-02,16956.07
2014-07-03,16976.24
2014-07-07,17068.26
2014-07-08,17024.21
2014-07-09,16906.62
2014-07-10,16985.61
2014-07-11,16915.07
2014-07-14,16943.81
2014-07-15,17055.42
2014-07-16,17060.68
2014-07-17,17138.2
2014-07-18,16976.81
2014-07-21,17100.18
2014-07-22,17051.73
2014-07-23,17113.54
2014-07-24,17086.63
2014-07-25,17083.8
2014-07-28,16960.57
2014-07-29,16982.59
2014-07-30,16912.11
2014-07-31,16880.36
2014-08-01,16563.3
2014-08-04,16493.37
2014-08-05,16569.28
2014-08-06,16429.47
2014-08-07,16443.34
2014-08-08,16368.27
2014-08-11,16553.93
2014-08-12,16569.98
2014-08-13,16560.54
2014-08-14,16651.8
2014-08-15,16713.58
2014-08-18,16662.91
