적용일자,총수익지수,전일대비,순가격지수,전일대비
2012-04-02,138.55,-0.13,104.84,-0.11
2012-04-03,138.7,0.15,104.94,0.1
2012-04-04,138.62,-0.08,104.87,-0.07
2012-04-05,138.67,0.05,104.9,0.03
2012-04-06,138.75,0.08,104.93,0.03
2012-04-09,139.06,0.31,105.16,0.23
2012-04-10,139.07,0.01,105.14,-0.02
2012-04-12,139.07,0,105.13,-0.01
2012-04-13,139.1,0.03,105.13,0
2012-04-16,139.34,0.24,105.29,0.16
2012-04-17,139.38,0.04,105.31,0.02
2012-04-18,139.3,-0.08,105.24,-0.07
2012-04-19,139.33,0.03,105.26,0.02
2012-04-20,139.41,0.08,105.29,0.03
2012-04-23,139.47,0.06,105.32,0.03
2012-04-24,139.48,0.01,105.32,0
2012-04-25,139.31,-0.17,105.18,-0.14
2012-04-26,139.41,0.1,105.24,0.06
2012-04-27,139.54,0.13,105.32,0.08
2012-04-30,139.74,0.2,105.45,0.13
2012-05-02,139.68,-0.06,105.39,-0.06
